order_id,delay_days
cb794d74f80c0dff5257f123400a063c,31
cbc956fc2a27bbc8dc18bd3a27ce7127,31
a75aad2fd41164a516a1257b45670f4d,31
beed527292a9e9a0e10bc602565b510c,31
1f4994f63a494cae176662935b4a8342,31
016d1bdf6efab4f6b805df1c03043113,31
9d02a36395b93b35ec7f46d79ee3e8b9,31
fdddc15fc7b9c37476820d6eb722f33b,31
2591fdd6cc7718bac11436b57abd8163,31
4f1eeea688bd0014cf7f81a1f23bb8c4,31
10c5eb3ea9a23055a311c44022b574eb,31
746abc8ae9eb8c8f21a6c916527ff5ba,31
8cb5fe50fcb1a1155fa2f27857895eaf,31
3c39f4ac4b4520bfaaba2cee448cd823,31
466e5cddccc661ae332697cc83dcafb1,31
8b4fc455b9a8cc1559dca8dd2d392ddd,31
e8ef78a9ce417db856269e84091403f2,31
a8b287712f97be514752ebf62271b2a2,31
e74f16cd18d4e5b3dfbcc81e880430d9,30
74ad3397d84521ee94f326aad1a35d14,30
a1c5f705a277dc65135f50fbfe2ce8bc,30
df65602000ffdf593af0979d8c8a8544,30
194a9f43598155086b091e0c827ad480,30
4cf65f650cc60791bfb99bbaa418faf9,30
95ec4886946c5ae0d453e95648834ac6,30
14e02ed9bb6ea11904967b279f41df37,30
43744ad15fef908c8dfcbd7fec0d786e,30
ed3646c08c3440dfcf19f92588bf1ff1,30
faa3c806c150cf6f037882a8c4db259d,30
60a30f7ea15c14582856b8ae771be976,30
957e60e8b06f5c61044ad86aa626cd49,30
9516708e3c4612677ddf7c9167b54076,30
6139a798f92b14ad667f3a8fb8f78c4c,30
fef33d02a77400304a29dc5bbfe6bc4b,29
bfdfcb5b457a83ebc43eccb8d8531f7f,29
2c6972a5750129c81b91e55b38b06823,29
08904f6557108c451821501ca9e6aa4a,29
1237d70df58d4f9a8bd929b9943f9b8a,29
c8d355d9b0027d16b4f22804df2bbc2d,29
1db522d84fad144624204d532f5277f4,29
e4d88b96fb1801eb436496008e848e1a,29
60064a8ef6cf5a49ed3b7edbc7fd9eb6,29
3b0e5a99d50a2371dc4f0dfbaf0a2a76,29
763dda5df4bf87b05540c4fb0888b346,29
d67f2941b4a27d61f6176446533e3766,29
3c0f91a7a3493bb46260f52f2e6ab61a,29
4ff1875e3f8c120cfe6cef2ec1aca104,29
95e7bfc2e335e44766ce4eb5f5771e30,29
18dfe50d6b2dbbbe6508b1b5eea3eae8,29
0eb4df6bfdca047c300acf9d25b04391,29
50aee6309ac7a0d4fd5c78ac0d4e5404,29
4ad21bf3605a58ee53dacbad7ddae5b0,29
1e7d25f611e794f9614dd3e10a8596e7,29
7307b10c1d2a536f3f07f18be33d9de7,29
f407e662a10a7864e42c33fdc559ff0a,29
8a0b2bc5c7a1c524635f4de8bae9dffe,29
f92ebc52a42344683b930dfb16d2f317,29
4550a99f6056026fc76c5030f0f45fe6,29
cd0b902d14f0c8d23aa34f4d50bf7843,29
47c195b6b404c1fa22f04b99a37a0b29,29
2ba2becdde8cc656098cdc16496a90c6,29
4d2e2634819452adb3313ccb5abd344f,29
1eb1c9ea2b136f9dd002a9653253f916,29
2b24fab07cfb3ca5b34f71a8b9934fde,29
185bb8598892fb8715f771ea136623d1,29
